3.87,-94.23
-9.90,-89.12
10.16,-82.11
-2.62,-104.98
-9.16,-75.32
18.41,-95.13
-18.34,-99.92
7.49,-68.90
8.86,-112.17
-22.66,-78.73
25.19,-81.52
-13.50,-114.47
-5.97,-61.61
24.24,-108.45
-30.95,-94.46
20.16,-64.18
1.30,-123.36
-23.49,-64.10
35.37,-91.88
-27.10,-115.28
4.64,-52.90
20.72,-122.93
-38.06,-79.85
33.97,-67.29
-11.50,-129.61
-16.25,-50.89
38.72,-109.60
-40.40,-107.82
18.98,-49.12
10.41,-134.21
-37.21,-60.77
45.89,-79.79
-26.86,-130.83
-3.54,-41.78
33.69,-128.08
-49.83,-89.67
34.90,-50.74
-4.13,-141.20
-28.47,-44.40
51.57,-103.25
-42.86,-125.73
12.38,-36.79
21.93,-141.69
-50.68,-63.09
50.39,-60.53
-21.04,-144.27
-14.41,-33.53
47.25,-129.34
-56.94,-109.26
29.99,-35.67
6.17,-150.14
-41.75,-40.55
61.57,-86.14
-39.09,-143.19
2.61,-27.10
34.78,-147.19
-63.10,-74.04
48.21,-39.62
-11.77,-154.92
-26.79,-26.98
60.91,-125.67
-57.11,-134.85
21.23,-23.72
18.11,-157.42
-55.63,-38.96
65.33,-55.76
-30.89,-157.02
-8.95,-19.21
48.38,-151.69
-71.71,-103.64
40.71,-22.90
-0.54,-163.44
-39.98,-21.03
73.68,-109.47
-50.63,-156.30
10.26,-14.42
30.91,-164.10
-69.79,-40.64
60.58,-25.96
-20.16,-167.39
-21.43,-12.09
62.37,-156.49
-70.44,-148.49
30.19,-11.00
11.69,-170.89
-53.50,-14.11
79.68,-48.91
-40.30,-170.57
-1.80,-6.61
43.99,-171.61
-83.68,-59.62
50.46,-7.67
-8.20,-175.65
-34.19,-4.51
76.40,-166.47
-60.64,-174.73
18.24,-2.11
24.23,-178.43
-66.72,-2.17
70.77,-0.87
-28.28,179.67
-14.21,0.89
56.67,177.39
-80.59,167.64
38.27,3.29
4.17,176.84
-46.54,5.42
85.62,101.01
-48.11,172.69
5.83,5.48
36.40,172.50
-77.30,31.55
57.65,13.51
-15.74,171.94
-26.30,9.31
67.36,156.26
-66.50,155.55
25.49,11.18
16.28,168.89
-57.28,21.15
73.52,46.26
-34.98,164.79
-6.38,13.09
47.22,159.76
-75.74,96.03
44.05,20.78
-3.36,164.61
-37.24,20.21
71.44,116.44
-52.39,151.09
12.86,18.23
27.37,159.22
-63.72,47.23
59.43,41.20
-22.02,158.15
-17.67,21.87
54.85,140.65
-64.13,120.76
30.69,26.60
8.18,156.48
-45.61,35.38
65.19,81.52
-38.63,147.04
1.01,25.79
36.29,146.49
-62.30,78.19
45.48,41.54
-9.80,151.18
-27.06,33.00
56.57,116.04
-50.68,127.16
18.04,32.79
18.02,146.49
-49.30,55.12
53.59,66.65
-25.53,142.04
-9.29,34.93
41.30,130.06
-53.73,98.60
32.00,44.55
1.00,142.76
-33.04,47.19
51.16,94.69
-37.06,127.27
6.70,40.50
24.80,133.82
-46.49,75.01
40.33,62.31
-13.59,135.19
-16.78,46.55
40.45,112.12
-41.48,107.38
19.41,50.23
9.21,131.88
-33.64,63.49
40.41,82.57
-23.84,123.24
-2.29,50.86
26.52,118.68
-37.33,88.93
26.56,64.15
-3.71,125.24
-19.44,61.03
32.64,97.44
-27.26,108.08
8.44,59.81
12.73,117.53
-26.78,78.56
25.76,79.31
-11.47,114.04
-6.74,65.69
20.12,102.97
-21.90,94.48
12.18,73.04
1.95,108.99
-12.83,78.37
15.20,89.74
-9.28,98.91
0.70,80.09
0.00,84.27
